39
 100 100 100  11  100 с/з
 100 100 100  22   14 3301
 100 100 100  22   10 3304
   0   0   0   0   18 3306
   0   0   0   0   30 3308
   0   0   0   0   30 3310
   0   0   0   0   30 3311
   0   0   0   0   30 3315а
   0   0   0   0   30 3317
 100 100 100  20    6 3317а
   0   0   0  31   10 3319
   0   0   0  31   10 3320
   0   0   0  31   10 3326
   0   0   0  31   13 3327
 100 100 100  22   24 3402
   0   0   0   0   24 3405
   0   0   0   0   30 3406
   0   0   0   0   64 3407
 100 100 100  20   20 3409
   0   0   0   0   64 3410
   0   0   0   0   64 3413
 100 100 100  22   12 3415
 100 100 100  22   10 3416
   0   0   0   0   30 3419
 100 100 100  20   24 3420
 100 100 100  20   24 3422
 100 100 100  20   14 3422а
 100 100 100  20   24 3424
 100 100 100  21   30 3503
 100 100 100  16   18 3505
   0   0   0  31    8 3509
 100 100 100  21   30 3513
 100 100 100  21   30 3515
 100 100 100  21   30 3516а
 100 100 100  21   30 3516б
 100 100 100  21   20 3517
 100 100 100  21   30 3518
 100 100 100  21   30 3520
   0   0   0  20   30 лаб.эстамп
